Title,Price,Długość karty,Ilość pamięci RAM,Rodzaj chipsetu,Taktowanie rdzenia w trybie boost
Karta graficzna PNY GeForce RTX 4070 SUPER Verto OC Dual Fan 12GB GDDR6X (VCG4070S12DFXPB1-O),"3 887,64 zł",247 mm,12 GB,GeForce RTX 4070 Super,2490 MHz
Karta graficzna MSI GeForce RTX 3090 Ti Suprim X 24GB GDDR6X (GeForce RTX 3090 Ti Suprim X),,328 mm,24 GB,GeForce RTX 3090 Ti,1965 MHz
Karta graficzna XFX Speedster QICK 308 Radeon RX 7600 8GB GDDR6 (RX-76PQICKBY),"1 279,79 zł",274 mm,8 GB,Radeon RX 7600,2755 MHz
Karta graficzna Inno3D GeForce RTX 4060 Twin X2 8GB GDDR6 (N40602-08D6-173051N),"1 530,23 zł",250 mm,8 GB,GeForce RTX 4060,2460 MHz
Karta graficzna Power Color Hellhound Radeon RX 7900 XT 20GB GDDR6 (RX 7900 XT 20G-L/OC),3 499 zł,320 mm,20 GB,Radeon RX 7900 XT,2500 MHz
Karta graficzna Biostar Radeon RX 580 8GB GDDR5 (VA5815TQ82),"546,30 zł",Brak danych,8 GB,Radeon RX 580,Brak danych
Karta graficzna Inno3D GeForce RTX 3050 Twin X2 8GB GDDR6 (N30502-08D6-1190VA42),"993,90 zł",240 mm,8 GB,GeForce RTX 3050,1777 MHz
Karta graficzna Palit GeForce RTX 4060 StormX 8GB GDDR6 (NE64060019P1-1070F),1 299 zł,170 mm,8 GB,GeForce RTX 4060,2460 MHz
Karta graficzna Inno3D GeForce RTX 4060 Twin X2 OC 8GB GDDR6 (N40602-08D6X-173051N),"1 927,12 zł",250 mm,8 GB,GeForce RTX 4060,2490 MHz
Karta graficzna AFOX GeForce GT 210 1GB DDR2 (AF210-1024D2LG2-V7),143 zł,150 mm,1 GB,GeForce GT 210,Nie dotyczy
Karta graficzna ASRock Arc B580 Challenger OC 12GB GDDR6 (B580 CL 12GO),1 339 zł,249 mm,12 GB,Arc B580,2740 MHz
Karta graficzna Gigabyte GeForce RTX 5070 Ti Gaming OC 16GB GDDR7 (GV-N507TGAMING OC-16GD),"4 818,99 zł",342 mm,16 GB,GeForce RTX 5070 Ti,2588 MHz
Karta graficzna Asus TUF Gaming GeForce RTX 5080 OC 16GB GDDR7 (TUF-RTX5080-O16G-GAMING),"6 949,99 zł",348 mm,16 GB,GeForce RTX 5080,Brak danych
Karta graficzna AFOX GeForce GT 220 1GB GDDR3 (AF220-1024D3L2),"140,99 zł",Brak danych,1 GB,GeForce GT 220,Brak danych
Karta graficzna AFOX GeForce RTX 2060 Super 8GB GDDR6 (AF2060S-8192D6H4-V2),"1 225,02 zł",Brak danych,8 GB,GeForce RTX 2060 Super,1650 MHz
Karta graficzna Zotac Gaming GeForce RTX 4060 Twin Edge OC White 8GB GDDR6 (ZT-D40600Q-10M),"1 481,26 zł",222 mm,8 GB,GeForce RTX 4060,2490 MHz
Karta graficzna Asus TUF Gaming Radeon RX 7700 XT OC 12GB GDDR6 (TUF-RX7700XT-O12G-GAMING),"3 007,18 zł",320 mm,12 GB,Radeon RX 7700 XT,2599 MHz
Karta graficzna Asus TUF GeForce RTX 5070 Ti OC 16GB GDDR7 (TUF-RTX5070TI-O16G-GAMING),"4 989,42 zł",329 mm,16 GB,GeForce RTX 5070 Ti,2610 MHz
Karta graficzna Gigabyte AORUS Radeon RX 9070 XT Elite 16GB GDDR6 (GV-R9070XTAORUS E-16GD),3 899 zł,339 mm,16 GB,Radeon RX 9070 XT,Brak danych
Karta graficzna Zotac GeForce GT 710 2GB DDR3 (ZT-71310-10L),"210,95 zł",Brak danych,2 GB,GeForce GT 710,Brak danych
Karta graficzna AFOX Radeon RX 570 8GB GDDR5 (AFRX570-8192D5H3-V2),721 zł,Brak danych,8 GB,Radeon RX 570,1244 MHz
Karta graficzna Power Color Radeon RX 7600 Fighter 8GB GDDR6 (RX 7600 8G-F),"1 150,96 zł",200 mm,8 GB,Radeon RX 7600,2655 MHz
Karta graficzna Inno3D GeForce RTX 3060 Twin X2 LHR 8GB GDDR6 (N30602-08D6-11902130),1 198 zł,240 mm,8 GB,GeForce RTX 3060,1777 MHz
Karta graficzna ASRock Arc A770 Challenger OC 16GB GDDR6 (A770 CL 16GO),"1 329,77 zł",271 mm,16 GB,Arc A770,2400 MHz
Karta graficzna Sparkle Arc A770 Titan OC Edition 16GB GDDR6 (SA770T-16GOC),"1 368,81 zł",306 mm,16 GB,Arc A770,2300 MHz
Karta graficzna PNY Quadro P1000 4GB GDDR5 (VCQP1000DVIV2-PB),"1 380,60 zł",145 mm,4 GB,Quadro P1000,1455 MHz
Karta graficzna Sparkle Arc B580 Titan OC 12GB GDDR6 (SB580T-12GOC),"1 413,02 zł",315 mm,12 GB,Arc B580,2740 MHz
Karta graficzna Biostar GeForce RTX 3060 Ti 8GB GDDR6X (N3606TM82),"1 582,55 zł",242 mm,8 GB,GeForce RTX 3060 Ti,1665 MHz
Karta graficzna PNY Quadro T1000 8GB GDDR6 (VCNT1000-8GB-SB),"1 713,66 zł",156 mm,8 GB,Quadro T1000,1395 MHz
Karta graficzna Power Color Fighter Radeon RX 7700 XT 12GB GDDR6 (RX 7700 XT 12G-F/OC),"1 908,73 zł",303 mm,12 GB,Radeon RX 7700 XT,2250 MHz
Karta graficzna Asus TUF GeForce GTX 1660 Gaming OC 6GB GDDR5 (TUF-GTX1660-O6G-GAMING),"1 945,98 zł",205 mm,6 GB,GeForce GTX 1660,1845 MHz
Karta graficzna Gainward GeForce RTX 4060 Ti Ghost 8GB GDDR6 (471056224-3949),"2 311,54 zł",250 mm,8 GB,GeForce RTX 4060 Ti,2535 MHz
Karta graficzna Gigabyte GeForce RTX 4070 Windforce 2X OC 12GB GDDR6X (GV-N4070WF2OC-12GD),"2 841,90 zł",201 mm,12 GB,GeForce RTX 4070,2490 MHz
Karta graficzna Gigabyte GeForce RTX 5070 Ti Aero OC 16GB GDDR7 (GV-N507TAERO OC-16GD),4 849 zł,340 mm,16 GB,GeForce RTX 5070 Ti,2588 MHz
Karta graficzna Biostar GeForce GT 610 2GB DDR3 (VN6103THX6),5 000 zł,Brak danych,2 GB,GeForce GT 610,Nie dotyczy
Karta graficzna Asus Prime GeForce RTX 5070 Ti OC 16GB GDDR7 (PRIME-RTX5070TI-O16G),"5 177,06 zł",306 mm,16 GB,GeForce RTX 5070 Ti,2527 MHz
Karta graficzna PNY Quadro RTX A4000 16GB GDDR6 (VCNRTXA4000-PB),"5 266,66 zł",241 mm,16 GB,Quadro RTX A4000,1560 MHz
Karta graficzna ASRock Radeon RX 6800 XT Taichi X OC 16G B GDDR6 (RX6800XT TCX 16GO),"6 394,14 zł",330 mm,16 GB,Radeon RX 6800 XT,2360 MHz
Karta graficzna Gigabyte GeForce RTX 5080 Gaming OC 16GB GDDR7 (GV-N5080GAMING OC-16GD),6 399 zł,342 mm,16 GB,GeForce RTX 5080,2730 MHz
Karta graficzna MSI GeForce RTX 5080 Gaming Trio OC White 16GB GDDR7 DLSS4,7 999 zł,338 mm,16 GB,GeForce RTX 5080,2715 MHz
Karta graficzna Asus TUF GeForce RTX 3090 Ti Gaming OC 24GB GDDR6X (TUF-RTX3090TI-O24G-GAMING),,326 mm,24 GB,GeForce RTX 3090 Ti,1950 MHz
Karta graficzna MSI GeForce RTX 3080 Ti Ventus 3X OC 12GB GDDR6X (RTX 3080 Ti VENTUS 3X 12G OC),9 266 zł,305 mm,12 GB,GeForce RTX 3080 Ti,1695 MHz
Karta graficzna Asus ROG Astral GeForce RTX 5090 OC 32GB GDDR7 (ROG-ASTRAL-RTX5090-O32G-GAMING),15 999 zł,358 mm,32 GB,GeForce RTX 5090,Brak danych
Karta graficzna Inno3D GeForce GT 710 2GB DDR3 (N710-1SDV-E3BX),189 zł,146 mm,2 GB,GeForce GT 710,Nie dotyczy
Karta graficzna PNY GeForce RTX 3050 Verto Dual 6GB GDDR6 (VCG30506DFXPB1),779 zł,186 mm,6 GB,GeForce RTX 3050,1470 MHz
Karta graficzna Asus Dual GeForce RTX 3050 OC 6GB GDDR6 (DUAL-RTX3050-O6G),799 zł,201 mm,6 GB,GeForce RTX 3050,1537 MHz
Karta graficzna AMD Radeon Pro W6400 4GB GDDR6 (100-506189),"993,48 zł",168 mm,4 GB,Radeon Pro W6400,Nie dotyczy
Karta graficzna XFX Speedster SWFT 210 Radeon RX 6650 XT Core Gaming 8GB GDDR6 (RX-665X8DFDY),"1 187,98 zł",241 mm,8 GB,Radeon RX 6650 XT,2635 MHz
Karta graficzna PNY Quadro P1000 4GB GDDR5 (VCQP1000V2-PB),"1 270,26 zł",145 mm,4 GB,Quadro P1000,1455 MHz
Karta graficzna ASRock Arc A750 Challenger D OC 8GB GDDR6 (A750 CLD 8GO),1 507 zł,271 mm,8 GB,Arc A750,Brak danych
Karta graficzna Power Color Hellhound Radeon RX 7800 XT 16GB GDDR6 (RX 7800 XT 16G-L/OC),"2 338,13 zł",332 mm,16 GB,Radeon RX 7800 XT,2520 MHz
Karta graficzna Gigabyte GeForce RTX 5070 Ti Windforce OC SFF 16GB GDDR7 (GV-N507TWF3OC-16GD),"5 483,27 zł",304 mm,16 GB,GeForce RTX 5070 Ti,2497 MHz
Karta graficzna Fujitsu GeForce 405 512MB DDR3 (S26361-D2422-V407 GS2),"49,90 zł",168 mm,512 MB,GeForce 405,Nie dotyczy
Karta graficzna AFOX Radeon HD 5450 1GB DDR3 (AF5450-1024D3L5),136 zł,168 mm,1 GB,Radeon HD5450,Nie dotyczy
Karta graficzna AFOX GeForce GT 240 1GB DDR3 (AF240-1024D3L2-V2),"151,83 zł",Brak danych,1 GB,GeForce GT 240,Nie dotyczy
Karta graficzna Palit GeForce GT 1030 2GB DDR4 (NEC103000646-1082F),"398,93 zł",135 mm,2 GB,GeForce GT 1030,1379 MHz
Karta graficzna AFOX Radeon RX 560 4GB GDDR5 (AFRX560-4096D5H4-V2),"515,36 zł",Brak danych,4 GB,Radeon RX 560,1275 MHz
Karta graficzna Biostar GeForce GTX 1050 Ti 4GB GDDR5 (VN1055XF41),"577,99 zł",195 mm,4 GB,GeForce GTX 1050 Ti,1455 MHz
Karta graficzna Power Color Radeon RX 550 Red Dragon 4GB GDDR5 (AXRX 550 4GBD5-DH),"642,09 zł",152 mm,4 GB,Radeon RX 550,1071 MHz
Karta graficzna Sapphire Pulse Radeon RX 6500 XT ITX Pure OC 4GB GDDR6 (11314-04-20G),"642,74 zł",153 mm,4 GB,Radeon RX 6500 XT,2610 MHz
Karta graficzna PNY Quadro RTX A400 4GB GDDR6 (VCNRTXA400-SB),"742,77 zł",163 mm,4 GB,Quadro RTX A400,1762 MHz
Karta graficzna Biostar GeForce GTX 1660 Ti 6GB GDDR6 (VN1666TF69),"936,83 zł",232 mm,6 GB,GeForce GTX 1660 Ti,1770 MHz
Karta graficzna Inno3D GeForce RTX 3050 Twin X2 8GB GDDR6 (N30502-08D6-1711VA41),"950,91 zł",222 mm,8 GB,GeForce RTX 3050,1777 MHz
Karta graficzna Asus Phoenix GeForce RTX 3050 V2 8GB GDDR6 (PH-RTX3050-8G-V2),"978,99 zł",178 mm,8 GB,GeForce RTX 3050,1807 MHz
Karta graficzna Gigabyte GeForce RTX 3050 Windforce OC 6GB GDDR6 (GV-N3050WF2OC-6GD),"1 068,05 zł",191 mm,6 GB,GeForce RTX 3050,1477 MHz
Karta graficzna Gainward GeForce RTX 3050 Pegasus 8GB GDDR6 (471056224-3734),"1 127,58 zł",162 mm,8 GB,GeForce RTX 3050,1777 MHz
Karta graficzna ASRock Arc B570 Challenger OC 10GB GDDR6 (B570 CL 10GO),1 199 zł,249 mm,10 GB,Arc B570,2600 MHz
Karta graficzna Inno3D GeForce RTX 3060 Twin X2 OC LHR 8GB GDDR6 (N30602-08D6X-11902130),"1 247,49 zł",240 mm,8 GB,GeForce RTX 3060,1792 MHz
Karta graficzna Power Color Radeon RX 7600 Hellhound 8GB GDDR6 (RX 7600 8G-L/OC),"1 364,78 zł",223 mm,8 GB,Radeon RX 7600,2695 MHz
Karta graficzna MSI GeForce RTX 4060 VENTUS 2X BLACK 8G OC + Spatium M480 Pro 1TB M.2 2280 PCI-E x4 Gen4 NVMe,1 701 zł,199 mm,8 GB,GeForce RTX 4060,2505 MHz
Karta graficzna MSI GeForce RTX 4060 Ventus 2X Black OC 8GB GDDR6 + MSI B550-A PRO,1 801 zł,199 mm,8 GB,GeForce RTX 4060,2505 MHz
Karta graficzna Inno3D GeForce RTX 4060 Twin X2 OC White 8GB GDDR6 (N40602-08D6X-173051W),"1 818,38 zł",250 mm,8 GB,GeForce RTX 4060,2490 MHz
Karta graficzna Sapphire Pure Radeon RX 7700 XT Frost Punk 2 Edition 12GB GDDR6 (11335-08-50G),1 989 zł,320 mm,12 GB,Radeon RX 7700 XT,2584 MHz
Karta graficzna PNY Quadro RTX A1000 8GB GDDR6 (VCNRTXA1000-SB),"1 994,16 zł",163 mm,8 GB,Quadro RTX A1000,1462 MHz
Karta graficzna Asus TUF Gaming Radeon RX 7600 XT OC 16GB GDDR6 (TUF-RX7600XT-O16G-GAMING),"2 008,89 zł",300 mm,16 GB,Radeon RX 7600 XT,2830 MHz
Karta graficzna Asus Dual Radeon RX 7700 XT OC 12GB GDDR6 (DUAL-RX7700XT-O12G),2 049 zł,280 mm,12 GB,Radeon RX 7700 XT,2599 MHz
Karta graficzna XFX Speedster SWFT 210 Radeon RX 7800 XT Core 16GB GDDR6 (RX-78TSWFTFP),2 188 zł,283 mm,16 GB,Radeon RX 7800 XT,2430 MHz
Karta graficzna Power Color Fighter Radeon RX 7800 XT 16GB GDDR6 (RX 7800 XT 16G-F/OC),"2 298,65 zł",303 mm,16 GB,Radeon RX 7800 XT,2475 MHz
Karta graficzna Asus Dual GeForce RTX 4060 Ti OC SSD 8GB GDDR6 (DUAL-RTX4060TI-O8G-SSD),"2 307,98 zł",227 mm,8 GB,GeForce RTX 4060 Ti,2595 MHz
Karta graficzna Zotac Gaming GeForce RTX 4060 Ti Twin Edge 8GB GDDR6 (ZT-D40610E-10M),"2 414,24 zł",226 mm,8 GB,GeForce RTX 4060 Ti,2535 MHz
Karta graficzna MSI GeForce RTX 4060 Ti VENTUS 2X BLACK 16G OC + Spatium M480 Pro 1TB M.2 2280 PCI-E x4 Gen4 NVMe,2 717 zł,199 mm,16 GB,GeForce RTX 4060 Ti,2625 MHz
Karta graficzna Gigabyte Radeon RX 9070 Gaming OC 16GB GDDR6 (GV-R9070GAMING OC-16GD),3 159 zł,288 mm,16 GB,Radeon RX 9070,Brak danych
Karta graficzna PNY GeForce RTX 5070 Overclocked (VCG507012TFXPB1-O),"3 224,06 zł",300 mm,12 GB,GeForce RTX 5070,2510 MHz
Karta graficzna XFX Swift Radeon RX 9070 OC Triple Fan Gaming 16GB GDDR6 (RX-97SWFB3B9),3 249 zł,325 mm,16 GB,Radeon RX 9070,2700 MHz
Karta graficzna Sapphire Nitro+ Radeon RX 9070 XT 16GB GDDR6 (11348-01-20G),"3 727,99 zł",331 mm,16 GB,Radeon RX 9070 XT,3060 MHz
Karta graficzna XFX Quicksilver Radeon RX 9070 XT White Magnetic Air 16GB GDDR6 (RX-97TMAQKW9),"4 554,74 zł",350 mm,16 GB,Radeon RX 9070 XT,2970 MHz
Karta graficzna Gigabyte GeForce RTX 5070 Ti Eagle OC SFF 16GB GDDR7 (GV-N507TEAGLE OC-16GD),4 599 zł,304 mm,16 GB,GeForce RTX 5070 Ti,2542 MHz
Karta graficzna Gigabyte GeForce RTX 5070 Ti Eagle OC ICE SFF 16GB GDDR7 (GV-N507TEAGLEOC ICE-16GD),"4 694,05 zł",304 mm,16 GB,GeForce RTX 5070 Ti,2542 MHz
Karta graficzna Gigabyte AORUS GeForce RTX 5070 Ti Master 16GB GDDR7 (GV-N507TAORUS M-16GD),"5 059,79 zł",360 mm,16 GB,GeForce RTX 5070 Ti,2670 MHz
Karta graficzna MSI GeForce RTX 5070 Ti Inspire 3X OC Plus 16GB GDDR7,"5 444,37 zł",288 mm,16 GB,GeForce RTX 5070 Ti,2497 MHz
Karta graficzna PNY RTX 4000 Ada Generation 20GB GDDR6 (VCNRTX4000ADA-SB),6 346 zł,245 mm,20 GB,RTX 4000 Ada Generation,2175 MHz
Karta graficzna Palit GeForce RTX 5080 GameRock OC 16GB GDDR7 (NE75080T19T2-GB2030G),"6 385,50 zł",332 mm,16 GB,GeForce RTX 5080,2730 MHz
Karta graficzna Gigabyte AORUS GeForce RTX 5080 Master 16GB GDDR7 (GV-N5080AORUS M-16GD),6 999 zł,360 mm,16 GB,GeForce RTX 5080,2805 MHz
Karta graficzna Asus ROG Astral GeForce RTX 5080 OC 16GB GDDR7 (ROG-ASTRAL-RTX5080-O16G-GAMING),"8 335,80 zł",358 mm,16 GB,GeForce RTX 5080,Brak danych
Karta graficzna ASRock Radeon RX 6400 Challenger ITX 4GB GDDR6 (RX6400 CLI 4G),"601,40 zł",162 mm,4 GB,Radeon RX 6400,2321 MHz
Karta graficzna Fujitsu Quadro K600 1GB DDR3 (S26361-F2222-L60),"640,63 zł",160 mm,1 GB,Quadro K600,Nie dotyczy
Karta graficzna Gigabyte Radeon RX 6400 Eagle 4GB GDDR6 (GV-R64EAGLE-4GD),"738,65 zł",192 mm,4 GB,Radeon RX 6400,2321 MHz
Karta graficzna ASRock Radeon RX 6500 XT Phantom Gaming OC 8GB GDDR6 (RX6500XT PG 8GO),"867,99 zł",240 mm,8 GB,Radeon RX 6500 XT,2825 MHz
Karta graficzna Asus Prime GeForce RTX 5070 OC 12GB GDDR7 DLSS4 (PRIME-RTX5070-O12G),"3 222,16 zł",304 mm,12 GB,GeForce RTX 5070,2587 MHz
Karta graficzna POWERCOLOR Hellhound Radeon RX 9070 XT 16GB GDDR6 (RX9070XT 16G-L/OC),"3 696,49 zł",327 mm,16 GB,Radeon RX 9070 XT,3010 MHz
Karta graficzna Sapphire Pulse Radeon RX 9070 16GB GDDR6 (11349-03-20G),"3 796,99 zł",280 mm,16 GB,Radeon RX 9070,2520 MHz
Karta graficzna Sparkle Arc A750 Titan OC Edition 8GB GDDR6 (SA750T-8GOC),"1 599,91 zł",306 mm,8 GB,Arc A750,2200 MHz
Karta graficzna Palit GeForce RTX 3070 Ti GameRock 8GB GDDR6X (NED307T019P2-1047G),"5 205,47 zł",304 mm,8 GB,GeForce RTX 3070 Ti,1770 MHz
Karta graficzna Asus Prime GeForce RTX 5080 OC 16GB GDDR7 (PRIME-RTX5080-O16G),"6 244,82 zł",306 mm,16 GB,GeForce RTX 5080,Brak danych
Karta graficzna AFOX Radeon R5 220 1GB DDR3 (AFR5220-1024D3L5),154 zł,Brak danych,1 GB,Radeon R5 220,Nie dotyczy
Karta graficzna NVIDIA Quadro T400 4GB GDDR6 (900-5G172-2240-000),"808,07 zł",156 mm,4 GB,Quadro T400,1425 MHz
Karta graficzna Karta Graficzna NVIDIA Quadro NVS 310 512MB DDR3 64bit Niski Profil uniwersalny,44 zł,,,,
Karta graficzna AMD Karta Graficzna AMD ATi FirePro V5700 512MB PCI-E GDDR3 2xDP DVI uniwersalny,69 zł,,,,
Karta graficzna AFOX GeForce 210 512MB DDR3 (AF210-512D3L3-V2),"122,89 zł",Brak danych,512 MB,GeForce GT 210,Nie dotyczy
Karta graficzna AMD Radeon HD 7350 1GB DDR3,"139,90 zł",Brak danych,1 GB,Radeon HD7350,Nie dotyczy
Karta graficzna AFOX GeForce GT 610 1GB DDR3 (AF610-1024D3L7-V6),"142,45 zł",Brak danych,1 GB,GeForce GT 610,Nie dotyczy
Karta graficzna AMD Karta Graficzna AMD FirePro W5000 2GB GDDR5 DVI DisplayPort uniwersalny,154 zł,,,,
Karta graficzna AFOX Radeon HD 6450 1GB DDR3 (AF6450-1024D3L9),"158,76 zł",Brak danych,1 GB,Radeon HD6450,Nie dotyczy
Karta graficzna PNY GeForce 8400GS 512MB DDR3 (FR146545),169 zł,Brak danych,512 MB,GeForce 8400GS,Brak danych
Karta graficzna PNY GeForce 8400GS 512MB DDR2 (GM84WW0SN2E49H/0TE),169 zł,Brak danych,512 MB,GeForce 8400GS,Brak danych
Karta graficzna AFOX GeForce GT 610 2GB GDDR3 (AF610-2048D3L7-V8),"172,22 zł",Brak danych,2 GB,GeForce GT 610,1333 MHz
Karta graficzna AFOX Radeon R5 230 1GB DDR3 (AFR5230-1024D3L9),"177,23 zł",Brak danych,1 GB,Radeon R5 230,Nie dotyczy
Karta graficzna AFOX Radeon R5 230 1GB DDR3 (AFR5230-1024D3L4),"177,23 zł",Brak danych,1 GB,Radeon R5 230,Nie dotyczy
Karta graficzna AFOX Radeon HD 6450 2GB DDR3 (AF6450-2048D3L5),"177,45 zł",168 mm,2 GB,Radeon HD6450,Nie dotyczy
Karta graficzna AFOX GeForce GT 710 2GB DDR3 (AF710-2048D3L5),185 zł,Brak danych,2 GB,GeForce GT 710,Nie dotyczy
Karta graficzna AFOX GeForce GT 710 2GB DDR3 (AF710-2048D3L5-V3),185 zł,Brak danych,2 GB,GeForce GT 710,Nie dotyczy
Karta graficzna AFOX GeForce GT 710 4GB DDR3 (AF710-4096D3L7-V1),"206,70 zł",Brak danych,4 GB,GeForce GT 710,Nie dotyczy
Karta graficzna Inno3D GeForce GT 730 2GB DDR3 (N730-1SDV-E3BX),"235,39 zł",140 mm,2 GB,GeForce GT 730,Nie dotyczy
Karta graficzna Quadro Karta Graficzna nVidia K4000 GDDR5 3GB 192bit DirectX11,239 zł,,,,
Karta graficzna AFOX GeForce GT 420 4GB DDR3 (AF420-4096D3L2),"301,01 zł",Brak danych,4 GB,GeForce GT 420,Brak danych
Karta graficzna Asus GeForce GT 730 2GB GDDR5 (GT730-SL-2GD5-BRK),"327,13 zł",145 mm,2 GB,GeForce GT 730,Nie dotyczy
Karta graficzna Inno3D GeForce GT 1030 2GB GDDR5 (N1030-1SDV-E5BL),349 zł,167 mm,2 GB,GeForce GT 1030,1468 MHz
Karta graficzna AFOX Geforce GT1030 2GB GDDR5 (AF1030-2048D5L5-V2),"351,63 zł",Brak danych,2 GB,GeForce GT 1030,1468 MHz
Karta graficzna Biostar Radeon RX 550 2GB GDDR5 (VA5505RF21),"388,78 zł",192 mm,2 GB,Radeon RX 550,1183 MHz
Karta graf. SPARKLE Intel Arc A310 Omni View 4GB,"479,87 zł",,,,
A310 4GB Sparkle Intel Arc Omni View GDDR6 1 Fan,"501,09 zł",,,,
Karta graficzna BIOSTAR GeForce GTX 1050 4GB,"534,28 zł",,,,
Karta graficzna Biostar Radeon RX 580 White 2048SP (VA5825RQ82),"569,39 zł",224 mm,8 GB,Radeon RX 580,1244 MHz
Karta graficzna ASRock Radeon RX 6400 Low Profile 4GB GDDR6 (RX6400 LP 4G),609 zł,150 mm,4 GB,Radeon RX 6400,2321 MHz
Karta graficzna Sparkle A380 GENIE  6GB GDDR6 (SA380G-6G),"609,29 zł",145 mm,6 GB,Arc A380,Nie dotyczy
Karta graficzna Power Color Red Dragon Radeon RX 550 LP 4GB GDDR5 (AXRX 550 4GBD5-HLE),"642,83 zł",181 mm,4 GB,Radeon RX 550,1071 MHz
Karta graficzna Biostar GeForce GTX 1050 Ti 4G GDDR5 (VN1055TF41),"647,25 zł",Brak danych,4 GB,GeForce GTX 1050 Ti,1392 MHz
Karta graficzna Sapphire Pulse Radeon RX 6500 XT OC 4GB GDDR6 (11314-07-20G),"664,45 zł",194 mm,4 GB,Radeon RX 6500 XT,2855 MHz
Karta graficzna Leadtek Quadro T400 4GB GDDR6 (900-5G172-2540-000),"684,31 zł",156 mm,4 GB,Quadro T400,1425 MHz
Karta graficzna Gigabyte Radeon RX 6400 D6 Low Profile 4GB GDDR6 (GV-R64D6-4GL),"746,11 zł",162 mm,4 GB,Radeon RX 6400,2321 MHz
Karta graficzna Power Color Radeon RX 6500 XT Fighter OC 4GB GDDR6 (AXRX 6500XT 4GBD6-DH/OC),"749,80 zł",191 mm,4 GB,Radeon RX 6500 XT,Brak danych
Karta graficzna Dell Radeon 550 2GB GDDR5 (DELL-3GY2K),"752,10 zł",170 mm,4 GB,Radeon RX 550,1230 MHz
Karta graficzna AFOX Radeon RX 550 4GB GDDR5 (AFRX550-4096D5H4),"780,02 zł",Brak danych,4 GB,Radeon RX 550,Brak danych
Karta graf. PNY GEFORCE RTX 3050 6GB VERTO Dual Fan,"788,50 zł",,,,
Karta graficzna Sapphire Pulse Radeon RX 6500 XT OC 8GB GDDR6 (11314-08-20G),"798,26 zł",194 mm,8 GB,Radeon RX 6500 XT,2855 MHz
Karta graficzna Gigabyte GeForce RTX 3050 OC Low Profile 6GB GDDR6 (GV-N3050OC-6GL),799 zł,181 mm,6 GB,GeForce RTX 3050,1477 MHz
